DollarSales	UnitSales	VolumeSales	DisplayStores	Feature_DisplayStores	FeatureStores	PriceReductionStores 
145582.781	2941.416	2941.416	0.00	0.00	0.00	0.00
53631.613	1629	1629	0.00	0.00	0.00	6.49
6797.55	145	145	0.00	0.00	0.00	0.00
33352.359	756.01	756.01	100.00	0.00	0.00	20.49
9288.554	192.23	192.23	0.00	0.00	0.00	0.00
212029.188	5440.134	5440.134	70.74	0.00	0.00	0.00
209609.016	4166.491	4166.491	0.00	0.00	0.00	100.00
78186.5	1612.116	1612.116	0.00	0.00	0.00	31.64
137673.25	2727.98	2727.98	0.00	0.00	0.00	0.00
57404.438	1714	1714	0.00	0.00	0.00	28.25
6505.589	141	141	0.00	0.00	0.00	0.00
33047.375	753	753	100.00	0.00	0.00	92.45
10723.409	223.154	223.154	0.00	0.00	0.00	0.00
217506.828	5581.364	5581.364	28.33	0.00	0.00	0.00
219042.203	4354.981	4354.981	0.00	0.00	0.00	100.00
110908.164	2667.282	2667.282	0.00	100.00	41.65	0.00
204986.391	4946.151	4946.151	0.00	0.00	0.00	0.00
49042.012	1313	1313	0.00	0.00	0.00	10.86
6595.589	141	141	0.00	0.00	0.00	0.00
30293.34	694.09	694.09	81.82	0.00	0.00	6.38
10125.529	213.323	213.323	0.00	0.00	0.00	0.00
224332.938	5759.071	5759.071	9.75	0.00	0.00	0.00
202630.531	4026.302	4026.302	0.00	0.00	0.00	17.09
79241.562	1618.116	1618.116	100.00	0.00	0.00	13.16
150808.469	3050.283	3050.283	0.00	0.00	0.00	0.00
52173.539	1383	1383	0.00	0.00	0.00	16.92
6458.61	139	139	0.00	0.00	0.00	0.00
31796.301	723.521	723.521	92.59	0.00	0.00	0.00
9644.131	200.079	200.079	0.00	0.00	0.00	0.00
217696.594	5588.157	5588.157	15.10	0.00	0.00	0.00
213497.531	4240.053	4240.053	0.00	0.00	0.00	16.08
76876.969	1571.126	1571.126	0.00	0.00	0.00	2.01
235928.344	5734.195	5734.195	0.00	0.00	0.00	0.00
61869.383	1741	1741	0.00	0.00	0.00	0.00
6558.599	140	140	0.00	0.00	0.00	0.00
37433.727	884.468	884.468	78.82	0.00	16.17	0.00
10000.81	207	207	0.00	0.00	0.00	0.00
229819.797	5898.708	5898.708	10.95	0.00	0.00	0.00
222324.484	4412.246	4412.246	0.00	0.00	0.00	16.74
78649.992	1603.142	1603.142	0.00	0.00	0.00	8.08
156308	3170.299	3170.299	0.00	0.00	0.00	0.00
61553.285	1744	1744	0.00	0.00	0.00	0.00
5403.33	117	117	0.00	0.00	0.00	0.00
35741.008	814.953	814.953	58.21	0.00	0.00	35.05
10695.64	224	224	0.00	0.00	0.00	0.00
238463.828	6120.852	6120.852	0.00	0.00	0.00	100.00
221854.984	4411.952	4411.952	0.00	0.00	0.00	0.00
76674.281	1572.203	1572.203	0.00	0.00	0.00	0.00
149651.234	2963.907	2963.907	0.00	0.00	0.00	0.00
56677.246	1469	1469	0.00	0.00	0.00	2.15
7004.999	150	150	0.00	0.00	0.00	0.00
33451.387	759.723	759.723	44.24	0.00	0.00	0.00
10889.42	240	240	0.00	0.00	0.00	0.00
235144.938	6036.745	6036.745	0.00	0.00	0.00	0.00
235473.359	5785.113	5785.113	0.00	0.00	1.76	0.00
79608.391	1620.192	1620.192	0.00	0.00	0.00	2.03
251997.062	6120.355	6120.355	0.00	0.00	0.00	0.00
52960.383	1378.809	1378.809	0.00	0.00	0.00	10.47
6064.7	130	130	0.00	0.00	0.00	0.00
35623.547	811.493	811.493	95.56	0.00	0.00	0.00
11700.43	258	258	0.00	0.00	0.00	0.00
235781.312	6051.25	6051.25	0.00	0.00	0.00	0.00
207007.422	4124.141	4124.141	0.00	0.00	0.00	0.85
79146.078	1612.174	1612.174	0.00	0.00	0.00	4.25
145372.281	2948.676	2948.676	0.00	0.00	0.00	0.00
57705.012	1494.562	1494.562	0.00	0.00	0.00	0.00
8636.03	201.531	201.531	0.00	0.00	0.00	0.00
36090.613	842.34	842.34	0.00	0.00	0.00	0.00
10271.066	226.283	226.283	0.00	0.00	0.00	0.00
229986.438	5903.65	5903.65	100.00	0.00	0.00	0.00
216533.797	4302.395	4302.395	0.00	0.00	0.00	4.06
82851.883	1689.234	1689.234	0.00	0.00	0.00	0.00
256296.625	6213.951	6213.951	0.00	0.00	0.00	0.00
67527.125	1834.588	1834.588	0.00	0.00	0.00	0.00
7932.001	169.313	169.313	0.00	0.00	0.00	0.00
40425.984	978.618	978.618	0.00	0.00	0.00	0.00
11134.283	248.376	248.376	0.00	0.00	0.00	0.00
238942.109	6131.126	6131.126	0.00	0.00	0.00	0.00
215034	4282.767	4282.767	0.00	0.00	0.00	0.00
79834.781	1646.219	1646.219	0.00	0.00	0.00	0.00
148614.172	3035.07	3035.07	0.00	0.00	0.00	0.00
66945.617	1728.908	1728.908	0.00	0.00	0.00	17.19
9568.287	228.287	228.287	0.00	0.00	12.96	0.00
42445.637	1064.349	1064.349	0.00	0.00	0.00	0.00
11370.008	255.276	255.276	0.00	0.00	0.00	0.00
248139.141	6372.246	6372.246	0.00	0.00	0.00	42.26
282778.5	6949.978	6949.978	0.00	0.00	3.48	0.00
120550.156	2912.464	2912.464	0.00	0.00	10.27	0.00
259243.75	6285.372	6285.372	0.00	0.00	0.00	0.00
57473.902	1475	1475	0.00	0.00	0.00	9.47
6586.321	141.133	141.133	0.00	0.00	0.00	0.00
35054.609	832.523	832.523	0.00	0.00	0.00	0.00
10524.851	233.205	233.205	0.00	0.00	0.00	0.00
226613.484	5817.55	5817.55	0.00	0.00	0.00	26.37
211834.891	4227.229	4227.229	0.00	0.00	0.00	46.16
80208.164	1631.245	1631.245	0.00	0.00	0.00	3.72
147867.875	3006.174	3006.174	0.00	0.00	0.00	0.00
68006.484	1757	1757	0.00	0.00	6.87	0.00
5972.881	128.248	128.248	0.00	0.00	0.00	0.00
31361.994	715.687	715.687	0.00	0.00	0.00	0.00
10927.174	241.217	241.217	0.00	0.00	0.00	0.00
223755.625	5743.631	5743.631	43.24	0.00	0.00	67.01
200488.641	3995.286	3995.286	0.00	0.00	0.00	0.00
77262.297	1567.469	1567.469	100.00	0.00	0.00	18.08
244833.484	5938.708	5938.708	0.00	0.00	0.00	0.00
54492.164	1407	1407	0.00	0.00	0.00	100.00
6114.579	131.179	131.179	0.00	0.00	0.00	0.00
38493.887	921.778	921.778	100.00	0.00	35.78	60.01
11498.72	249	249	0.00	0.00	0.00	0.00
222549.422	5711.557	5711.557	16.87	0.00	0.00	0.00
288630.438	6636.687	6636.687	0.00	0.00	38.84	0.00
79066.172	1606.432	1606.432	100.00	0.00	0.00	32.87
150144.109	3058.104	3058.104	0.00	0.00	0.00	0.00
56557.91	1451	1451	0.00	0.00	0.00	44.26
6665.876	143.283	143.283	0.00	0.00	0.00	0.00
33915.023	769.694	769.694	100.00	0.00	0.00	69.51
11318.85	245	245	0.00	0.00	0.00	0.00
246791.891	6333.737	6333.737	0.00	0.00	0.00	99.99
210420.609	4183.358	4183.358	0.00	0.00	0.00	100.00
77059.062	1569.436	1569.436	0.00	0.00	0.00	29.65
243431.938	5849.73	5849.73	0.00	0.00	0.00	0.00
57285.121	1472	1472	0.00	0.00	0.00	100.00
8669.946	185.567	185.567	0.00	0.00	0.00	0.00
34628.734	794	794	0.00	0.00	0.00	0.00
12366.898	270	270	0.00	0.00	0.00	0.00
231794.312	5948.471	5948.471	75.06	0.00	0.00	100.00
229490.219	4555.884	4555.884	0.00	0.00	0.00	100.00
80225.867	1623.444	1623.444	14.94	0.00	0.00	40.26
150406.094	3041.4	3041.4	0.00	0.00	0.00	0.00
69069.93	1781	1781	0.00	0.00	74.83	0.00
7649.87	163.181	163.181	0.00	0.00	0.00	0.00
35150.383	806	806	0.00	0.00	0.00	90.31
11623.639	258	258	0.00	0.00	0.00	0.00
241928.719	6209.251	6209.251	0.00	0.00	0.00	100.00
243677.094	4835.272	4835.272	0.00	0.00	0.00	100.00
86671.555	1759.515	1759.515	0.00	0.00	0.00	100.00
187777.953	4058.205	4058.205	0.00	0.00	0.00	0.00
57243.984	1468	1468	0.00	0.00	0.00	100.00
7191.8	154.146	154.146	0.00	0.00	0.00	100.00
33990.289	782	782	0.00	0.00	0.00	27.54
10438.709	232	232	0.00	0.00	0.00	0.00
232866.953	5977.166	5977.166	100.00	0.00	0.00	100.00
243802.125	4847.476	4847.476	0.00	0.00	0.00	100.00
86017.125	1744.144	1744.144	100.00	0.00	0.00	100.00
154854.703	3092.31	3092.31	0.00	0.00	0.00	0.00
59765.285	1537	1537	0.00	0.00	0.00	83.34
7983.79	171	171	0.00	0.00	0.00	0.00
44580.969	1072	1072	0.00	0.00	100.00	100.00
10265.561	225	225	0.00	0.00	0.00	0.00
264307.188	6783.512	6783.512	46.16	0.00	0.00	100.00
238240.734	4745.752	4745.752	0.00	0.00	0.00	100.00
83269.859	1710.914	1710.914	0.00	0.00	0.00	82.42
159208.266	3158.996	3158.996	0.00	0.00	0.00	0.00
60315.578	1556	1556	0.00	0.00	0.00	100.00
6579.524	141.116	141.116	0.00	0.00	0.00	0.00
37913.188	869.066	869.066	100.00	0.00	0.00	75.53
11948.379	265	265	0.00	0.00	0.00	0.00
251409.766	6453.871	6453.871	0.00	0.00	0.00	100.00
279848.812	6896.79	6896.79	0.00	0.00	92.12	0.00
113790.734	2750.412	2750.412	0.00	0.00	85.71	0.00
225049.391	5159.66	5159.66	0.00	0.00	0.00	0.00
61740.785	1591	1591	0.00	0.00	0.00	100.00
6834.479	146.375	146.375	0.00	0.00	0.00	0.00
38586.176	894.136	894.136	100.00	0.00	0.00	27.02
11533.51	298.531	298.531	0.00	0.00	0.00	0.00
266211.406	6831.641	6831.641	38.90	0.00	0.00	100.00
257894.266	5137.452	5137.452	0.00	0.00	0.00	86.73
93541.234	1894.989	1894.989	100.00	0.00	0.00	41.90
179150.203	3644.261	3644.261	0.00	0.00	0.00	0.00
64462.82	1661	1661	0.00	0.00	0.00	100.00
7422.867	158.442	158.442	0.00	0.00	0.00	0.00
40815.496	981.111	981.111	0.00	0.00	0.00	33.48
10780.479	273.159	273.159	0.00	0.00	0.00	0.00
260129.25	6675.631	6675.631	19.82	0.00	0.00	40.62
281514.781	5599.938	5599.938	0.00	0.00	0.00	100.00
96415.125	1949.03	1949.03	100.00	0.00	0.00	34.84
168747.562	3390.256	3390.256	0.00	0.00	0.00	0.00
86109.992	2237	2237	0.00	0.00	44.43	0.00
8104.652	173.118	173.118	0.00	0.00	0.00	0.00
45327.117	1096.131	1096.131	0.00	0.00	0.00	9.17
12342.8	317.201	317.201	0.00	0.00	0.00	0.00
282872.781	7260.702	7260.702	100.00	0.00	0.00	33.62
256002.281	5095.958	5095.958	0.00	0.00	0.00	46.18
90658.492	1852.234	1852.234	0.00	0.00	0.00	70.49
175577.109	3528.054	3528.054	0.00	0.00	0.00	0.00
77804.266	2025	2025	0.00	0.00	0.00	100.00
9307.703	220.195	220.195	0.00	0.00	29.64	0.00
52047.691	1298	1298	6.93	0.00	17.23	13.42
11499.385	287.162	287.162	0.00	0.00	0.00	0.00
301022.125	7727.056	7727.056	11.29	0.00	0.00	82.70
338953.25	8372.054	8372.054	0.00	0.00	58.09	0.00
136171.156	3302.375	3302.375	0.00	0.00	61.43	0.00
258733.844	5956.282	5956.282	0.00	0.00	0.00	0.00
63277.43	1663	1663	0.00	0.00	0.00	7.98
7071.489	151	151	0.00	0.00	0.00	0.00
39745.699	934	934	0.00	0.00	0.00	4.56
9594.99	199	199	0.00	0.00	0.00	0.00
261817.703	6719.762	6719.762	5.50	0.00	0.00	100.00
268265.969	5345.08	5345.08	0.00	0.00	0.00	53.71
90794.094	1844.408	1844.408	100.00	0.00	0.00	9.57
162116.047	3255.509	3255.509	0.00	0.00	0.00	0.00
59217.395	1582	1582	0.00	0.00	0.00	39.66
7872.593	168.093	168.093	0.00	0.00	0.00	0.00
37824.441	855	855	0.00	0.00	0.00	26.03
10058.029	209	209	0.00	0.00	0.00	0.00
270954.094	6954.007	6954.007	0.00	0.00	0.00	100.00
261595.562	5178.752	5178.752	0.00	0.00	0.00	100.00
88027.18	1786.413	1786.413	72.42	0.00	0.00	7.44
236837.703	5651.783	5651.783	0.00	0.00	0.00	0.00
60223.293	1590	1590	0.00	0.00	0.00	39.55
8164.356	174.089	174.089	0.00	0.00	0.00	0.00
36070.211	816	816	100.00	0.00	0.00	100.00
11941.279	247.203	247.203	0.00	0.00	0.00	0.00
275000.188	7060.72	7060.72	23.61	0.00	0.00	69.71
251605.141	4980.47	4980.47	0.00	0.00	0.00	100.00
94260.094	1905.494	1905.494	0.00	0.00	0.00	4.88
178758.203	3632.033	3632.033	0.00	0.00	0.00	0.00
56799.465	1463	1463	0.00	0.00	0.00	14.94
8192.536	175.116	175.116	0.00	0.00	0.00	0.00
39214.777	888	888	0.00	0.00	0.00	51.89
12816.733	261.083	261.083	0.00	0.00	0.00	0.00
291367.844	7478.326	7478.326	0.00	0.00	0.00	51.00
235235.188	4657.013	4657.013	0.00	0.00	0.00	56.13
87765.438	1772.411	1772.411	100.00	0.00	0.00	0.00
234946.766	5084.679	5084.679	0.00	0.00	0.00	0.00
63829.93	1642.725	1642.725	0.00	0.00	0.00	26.84
7328.417	157.14	157.14	0.00	0.00	0.00	0.00
39525.758	891	891	21.78	0.00	0.00	42.86
11567.643	243.052	243.052	0.00	0.00	0.00	0.00
273302.312	7014.653	7014.653	46.68	0.00	0.00	35.05
244071.812	4836.184	4836.184	0.00	0.00	0.00	54.02
92891.727	1885.199	1885.199	0.00	0.00	0.00	25.42
244252.312	5295.219	5295.219	0.00	0.00	0.00	0.00
73830.047	1898.15	1898.15	0.00	0.00	26.36	0.00
8481.236	181.132	181.132	0.00	0.00	0.00	0.00
40311.262	909.028	909.028	72.18	0.00	0.00	0.00
10564.976	226.09	226.09	0.00	0.00	0.00	0.00
290758.656	7462.292	7462.292	0.00	0.00	0.00	58.86
330037.031	7517.572	7517.572	0.00	0.00	32.32	0.00
94050.266	1907.474	1907.474	0.00	0.00	0.00	12.86
179141.938	3623.371	3623.371	0.00	0.00	0.00	0.00
62606.266	1603.66	1603.66	0.00	0.00	0.00	31.90
8060.279	172	172	0.00	0.00	0.00	0.00
37642.246	852.21	852.21	0.00	0.00	0.00	57.41
12645.58	252	252	0.00	0.00	0.00	0.00
286418.438	7351.868	7351.868	41.76	0.00	0.00	53.46
260249.75	5155.822	5155.822	0.00	0.00	0.00	79.82
97202.422	1962.588	1962.588	75.44	0.00	0.00	4.13
230700.812	4990.322	4990.322	0.00	0.00	0.00	0.00
66790.273	1894	1894	0.00	0.00	0.00	15.59
8855.109	189	189	0.00	0.00	0.00	0.00
43572.949	1020.719	1020.719	14.73	0.00	0.00	2.08
11732.949	225	225	0.00	0.00	0.00	0.00
309529.594	7945.312	7945.312	0.00	0.00	0.00	100.00
246908.938	4896.119	4896.119	0.00	0.00	0.00	100.00
94686.992	1919.571	1919.571	100.00	0.00	0.00	0.00
192028.312	3894.506	3894.506	0.00	0.00	0.00	0.00
59366.848	1681	1681	0.00	0.00	0.00	14.41
8465.189	181	181	0.00	0.00	0.00	0.00
42728.035	962.955	962.955	0.44	0.00	0.00	0.00
10390.819	200	200	0.00	0.00	0.00	0.00
317230.656	8140.163	8140.163	11.86	0.00	0.00	72.15
306304.719	7553.454	7553.454	0.00	0.00	41.12	0.00
93108.398	1884.636	1884.636	100.00	0.00	0.00	34.78
274503.125	6578.632	6578.632	0.00	0.00	0.00	0.00
60251.195	1544	1544	0.00	0.00	0.00	100.00
9222.529	197	197	0.00	0.00	0.00	0.00
40482.32	919.742	919.742	100.00	0.00	0.00	0.00
10931.65	209	209	0.00	0.00	0.00	0.00
314695.188	8077.839	8077.839	11.36	0.00	0.00	100.00
240240.391	4782.926	4782.926	0.00	0.00	0.00	72.90
93360.547	1891.293	1891.293	100.00	0.00	0.00	10.43
293152.438	7057.509	7057.509	0.00	0.00	0.00	0.00
66450.195	1705	1705	0.00	0.00	0.00	7.07
8433.688	180.117	180.117	0.00	0.00	0.00	0.00
44088.434	1000.64	1000.64	46.26	0.00	0.00	28.97
11814.31	227	227	0.00	0.00	0.00	0.00
351458.594	9020.656	9020.656	30.65	0.00	0.00	96.98
266033.781	5284.669	5284.669	0.00	0.00	0.00	100.00
103909.234	2107.411	2107.411	100.00	0.00	0.00	80.98
187606.906	3845.856	3845.856	0.00	0.00	0.00	0.00
62173.414	1595	1595	0.00	0.00	0.00	100.00
9100.85	194.23	194.23	0.00	0.00	0.00	0.00
49283.387	1144	1144	20.13	0.00	0.00	17.36
10996.129	211	211	0.00	0.00	0.00	0.00
341327.344	8758.965	8758.965	19.70	0.00	0.00	96.18
327971.75	7465.614	7465.614	0.00	0.00	53.37	0.00
100149.359	2056.31	2056.31	0.00	0.00	0.00	81.52
250978.406	5985.16	5985.16	0.00	0.00	0.00	0.00
64746.496	1665	1665	0.00	0.00	0.00	61.74
7913.935	169.226	169.226	0.00	0.00	0.00	0.00
53105.863	1308.159	1308.159	0.00	0.00	9.05	6.78
11177.561	224	224	0.00	0.00	0.00	0.00
324569.219	8331.269	8331.269	16.61	0.00	0.00	100.00
253725.438	5051.787	5051.787	0.00	0.00	0.00	75.92
148228.062	3604.558	3604.558	0.00	100.00	79.21	0.00
196096.594	4023.768	4023.768	0.00	0.00	0.00	0.00
60971.246	1572	1572	0.00	0.00	0.00	8.56
8858.525	189.158	189.158	0.00	0.00	0.00	0.00
43640.867	1051.12	1051.12	0.00	0.00	0.00	0.00
10929.168	231	231	0.00	0.00	0.00	0.00
308590.75	7919.792	7919.792	5.68	0.00	7.23	37.27
271069.188	6677.299	6677.299	0.00	0.00	28.58	0.00
93501.469	1897.293	1897.293	0.00	0.00	0.00	22.21
233323.484	5528.099	5528.099	0.00	0.00	0.00	0.00
81411.141	2118	2118	0.00	0.00	15.32	0.00
9180.039	196	196	0.00	0.00	0.00	0.00
46753.57	1128.811	1128.811	100.00	0.00	0.00	7.14
10526.369	223	223	0.00	0.00	0.00	0.00
336910.938	8646	8646	31.10	0.00	0.00	37.18
254178.609	5087.124	5087.124	0.00	0.00	0.00	14.91
104888.141	2130.461	2130.461	100.00	0.00	0.00	43.19
242565.688	5730.972	5730.972	0.00	0.00	0.00	0.00
71834.453	1861	1861	0.00	0.00	0.00	32.67
9282.994	200.366	200.366	0.00	0.00	0.00	0.00
48639.566	1169.982	1169.982	0.00	0.00	0.00	0.00
10647.029	225	225	0.00	0.00	0.00	0.00
350330.656	8995	8995	27.32	0.00	0.00	35.38
316163.25	7788.504	7788.504	0.00	0.00	24.61	0.00
165749.703	4044.434	4044.434	0.00	100.00	58.78	0.00
299078	7194.156	7194.156	0.00	0.00	0.00	0.00
68652.398	1773.815	1773.815	0.00	0.00	0.00	8.51
11382.358	280.721	280.721	0.00	0.00	30.75	0.00
55965.805	1340.407	1340.407	0.00	0.00	0.00	0.00
13110.299	262	262	0.00	0.00	0.00	0.00
419137.406	10758	10758	0.00	50.75	22.93	0.00
459924.281	10599.994	10599.994	0.00	0.00	46.08	0.00
125160.859	2745.389	2745.389	0.00	0.00	49.10	0.00
274974.719	6453.636	6453.636	0.00	0.00	0.00	0.00
52496.637	1344.152	1344.152	0.00	0.00	0.00	14.61
8141.958	180.484	180.484	0.00	0.00	0.00	0.00
35585.082	845.272	845.272	13.87	0.00	0.00	0.00
9826.641	188	188	0.00	0.00	0.00	0.00
226042.188	5801	5801	0.00	0.00	0.00	100.00
219063.734	4355.602	4355.602	0.00	0.00	0.00	66.31
79218.641	1612.185	1612.185	34.34	0.00	0.00	2.34
159250.719	3202.229	3202.229	0.00	0.00	0.00	0.00
61816.828	1590.319	1590.319	0.00	0.00	0.00	37.80
7600.709	168.476	168.476	0.00	0.00	0.00	0.00
39792.402	899.787	899.787	31.61	0.00	0.00	12.66
9879.76	190	190	0.00	0.00	0.00	0.00
252347.5	6475.346	6475.346	2.99	0.00	0.00	100.00
242319.781	4811.418	4811.418	0.00	0.00	0.00	0.00
89079.781	1817.24	1817.24	44.93	0.00	0.00	24.25
156296.938	3158.729	3158.729	0.00	0.00	0.00	0.00
56294.094	1445	1445	0.00	0.00	0.00	41.82
7017.429	155.355	155.355	0.00	0.00	0.00	0.00
36813.004	827.573	827.573	49.82	0.00	0.00	100.00
8621.378	165.117	165.117	0.00	0.00	0.00	0.00
237524.281	6095.218	6095.218	0.00	0.00	0.00	0.00
250846.812	6150.412	6150.412	0.00	0.00	35.23	0.00
77329.844	1577.174	1577.174	0.00	0.00	0.00	53.88
170073.531	3520.516	3520.516	0.00	0.00	0.00	0.00
61890.336	1593	1593	0.00	0.00	0.00	40.34
9120.552	203.569	203.569	0.00	0.00	0.00	0.00
38613.512	883.883	883.883	61.95	0.00	0.00	42.93
9155.006	175.036	175.036	0.00	0.00	0.00	0.00
260063.516	6675.316	6675.316	31.21	0.00	0.00	0.00
220102.312	4374.056	4374.056	0.00	0.00	0.00	33.22
81764.078	1681.211	1681.211	96.07	0.00	0.00	28.04
145500.781	2916.157	2916.157	0.00	0.00	0.00	0.00
56870.078	1466	1466	0.00	0.00	0.00	86.67
7195.017	160.369	160.369	0.00	0.00	0.00	0.00
33320.605	769.851	769.851	0.00	0.00	0.00	100.00
10496.412	226.349	226.349	0.00	0.00	0.00	0.00
245448.047	6300.128	6300.128	18.35	0.00	0.00	35.14
214246.281	4239.704	4239.704	0.00	0.00	0.00	43.53
126768.359	3075.324	3075.324	0.00	0.00	76.82	0.00
157102.719	3145.519	3145.519	0.00	0.00	0.00	0.00
48839.586	1252.69	1252.69	0.00	0.00	0.00	0.00
7653.097	170.551	170.551	0.00	0.00	0.00	0.00
35546.883	816.393	816.393	2.03	0.00	0.00	19.93
12223.592	265.486	265.486	0.00	0.00	0.00	0.00
227186.531	5830.523	5830.523	15.61	0.00	0.00	100.00
218336.141	4328.236	4328.236	0.00	0.00	0.00	1.81
83755.266	1699.233	1699.233	0.00	0.00	0.00	23.24
177246.078	3702.614	3702.614	0.00	0.00	0.00	0.00
47871.531	1235.361	1235.361	0.00	0.00	0.00	39.64
8039.002	179.24	179.24	0.00	0.00	0.00	0.00
36639.418	850.399	850.399	11.80	0.00	0.00	0.00
8480.499	184.226	184.226	0.00	0.00	0.00	0.00
259856.203	6668.214	6668.214	100.00	0.00	0.00	43.90
220478.016	4396.12	4396.12	0.00	0.00	0.00	100.00
85699.922	1745.183	1745.183	0.00	0.00	0.00	7.82
146596.609	2930.334	2930.334	0.00	0.00	0.00	0.00
57371.898	1477.769	1477.769	0.00	0.00	0.00	80.01
